bn:00000071n;Stanley Baldwin;chamberlain_1429.43;churchill_1147.32;government_709.54;prime minister_631.84;baldwin_631.73;conservative_569.72;labor_475.09;cabinet_437.53;liberal_366.65
bn:00000072n;Arthur Balfour;lord_1889.04;balfour_972.96;chamberlain_950.36;naval_574.64;gladstone_523.78;liberal_493.03;asquith_468.06;sea_430.17;unionist_424.15
bn:00000073n;First lieutenant;lieutenant_511.75;rank_418.45;officer_279.5;army_215.04;u.s._207.54;second lieutenant_168.37;navy_165.31;command_131.37;captain_114.59
bn:00000074n;Sahiwal District;sahiwal_797.06;punjab_194.87;okara_185.81;district_168.91;pakistan_135.0;pakpattan_126.09;dhudhi_121.8;chichawatni_111.74;punjabi_96.76
bn:00000077n;Salicylic acid;aspirin_990.99;salicylic acid_572.03;bayer_364.63;salicylate_348.27;skin_195.5;acne_177.65;willow_151.6;nsaids_143.34;ampk_138.03
bn:00000086n;Day;day_635.03;planet_259.64;sun_258.79;earth_255.66;calendar_249.75;time_241.25;clock_211.54;moon_184.24;orbit_169.14
bn:00000089n;Twenty-Five (solitaire);number_119.07;ombre_73.6;automorphic_47.16;digit_42.55;card_37.94;base-26_34.99;six_28.64;radix_25.78;trump_23.43
bn:00000094n;Books of Chronicles;bible_463.49;solomon_426.81;ezra_365.19;hebrew_358.01;book_328.56;jerusalem_323.45;judah_278.89;king_270.65;septuagint_251.67
bn:00000096n;Books of Kings;israel_914.65;judah_798.8;yahweh_508.65;jerusalem_470.99;god_445.45;solomon_439.48;bce_435.14;king_404.07;jeremiah_379.31
bn:00000097n;2 Maccabees;maccabees_330.12;bible_313.42;book_312.96;septuagint_294.81;jewish_268.98;hebrew_266.79;jews_243.39;vulgate_221.64;jew_193.55
bn:00000098n;Books of Samuel;god_1919.03;moses_1228.93;david_1056.92;saul_1034.67;israelite_997.84;samuel_813.73;torah_701.52;israel_484.36;rabbi_453.05
bn:00000099n;Second lieutenant;rank_1413.16;officer_683.16;lieutenant_437.53;second lieutenant_428.1;insignia_312.65;cadet_299.13;midshipman_279.63;corporal_274.64;warrant officer_251.81
bn:00000101n;3D;film_281.37;motion picture_42.77;movie_37.85;cinema_25.27;image_18.41;screen_17.71;animation_17.5;trailer_14.52;audience_13.68
bn:00000106n;Common year;day_376.72;leap year_334.35;common year_291.97;year_237.02;month_210.95;calendar_202.47;thanksgiving_159.12;gregorian calendar_107.72;dominical_100.98
bn:00000107n;Leap year;calendar_1791.9;day_1474.77;leap year_960.78;year_794.17;month_747.23;gregorian calendar_595.62;date_311.18;week_295.39;common year_283.4
bn:00000109n;Armenian Secret Army for the Liberation of Armenia;armenian_1269.49;turkish_683.59;turkey_511.61;asala_450.21;armenians_434.59;pkk_373.61;genocide_338.69;armenia_336.79;syria_194.76
bn:00000110n;Lamivudine;virus_741.89;hiv_655.1;lamivudine_328.98;viral_268.9;infection_252.99;drug_224.11;reverse transcriptase_194.7;hepatitis_189.02;azt_187.16
bn:00000111n;Quaternion;vector_3755.44;quaternion_3429.2;rotation_1943.46;algebra_1834.41;matrix_1518.07;scalar_743.78;product_727.68;multiplication_727.45;space_642.61
bn:00000115n;Dragstrip;car_424.51;race_315.46;racing_308.71;track_251.34;dragstrip_250.99;nhra_227.66;raceway_201.75;amx_178.86;drag_170.21
bn:00000116n;Quarto;shakespeare_1768.19;quarto_653.03;play_455.97;henry vi_404.57;edition_332.93;hamlet_332.66;folio_295.89;titus_260.9;shrew_241.83
bn:00000118n;Four-wheel drive;wheel_1670.77;differential_1365.03;vehicle_1077.31;torque_1056.74;rear_1048.04;engine_707.05;drive_644.81;4wd_620.85;axle_593.06
bn:00000121n;HMG-CoA reductase;cholesterol_912.93;statins_428.06;ldl_406.17;hmg-coa reductase_232.97;atorvastatin_209.17;lovastatin_192.62;statin_143.25;enzyme_142.6;ampk_139.68
bn:00000122n;Serotonin;serotonin_1841.08;5-ht_1605.34;receptor_1254.36;agonist_379.61;2c_368.6;neurotransmitter_355.56;leptin_283.0;drug_271.04;tryptophan_255.0
bn:00000125n;Sextet;number_657.44;digit_240.04;sextet_157.44;divisor_137.04;sum_130.18;numeral_91.21;six_85.29;prime_83.38;harshad_83.36
bn:00000127n;Hour;clock_870.41;hour_501.04;time_326.68;day_188.78;use_174.69;decimal_162.75;unit_143.43;watch_133.83;dial_124.73
bn:00000128n;Normandy landings;landing_1026.23;german_987.14;beach_854.41;allied_835.29;division_782.72;airborne_668.57;force_667.59;rommel_624.01;invasion_622.99
bn:00000136n;Victory in Europe Day;german_372.98;gaulle_351.03;germany_289.87;war_282.69;soviet_278.04;surrender_265.95;truman_260.81;allies_245.8;allied_218.15
bn:00000137n;Octavo;book_474.15;octavo_359.28;quarto_214.52;edition_179.84;page_177.73;print_177.03;library_176.49;folio_157.14;sheet_92.96
bn:00000139n;September 11 attacks;b._15144.3;american_8826.19;actor_3225.98;d._3186.19;actress_3019.66;singer_1696.64;english_897.58;footballer_786.54;politician_747.39
bn:00000141n;Angstrom;atom_265.6;wavelength_246.08;x-ray_222.37;unit_184.31;molecule_137.65;crystal_118.62;electron_114.42;scattering_113.35;length_108.48
bn:00000142n;Vitamin A;vitamin_1289.36;deficiency_435.69;food_386.31;retinol_303.18;antioxidant_302.59;β-carotene_268.49;nutrition_221.43;cholesterol_200.6;fat_198.85
bn:00000143n;Deoxyadenosine monophosphate;nucleotide_119.58;purine_56.58;nucleoside_53.16;pyrimidine_50.71;dna_44.24;adenine_36.15;guanine_35.51;nucleic acid_35.32;thymine_34.05
bn:00000144n;Adenine;dna_1370.02;rna_1228.36;nucleotide_645.23;adenine_622.47;molecule_411.39;strand_410.48;guanine_380.64;purine_358.83;uracil_349.13
bn:00000145n;Year;calendar_677.16;day_534.05;unit_491.62;month_414.19;year_411.34;earth_293.78;leap year_259.71;gregorian calendar_243.11;sun_229.23
bn:00000146n;A;letter_635.87;alphabet_263.04;selector_211.68;layout_180.75;use_177.82;vowel_174.63;word_167.69;keyboard_133.13;language_130.45
bn:00000148n;Military Intelligence Directorate (Israel);idf_532.68;israeli_521.48;israel_410.62;intelligence_348.03;beret_253.93;mossad_203.8;unit_185.13;dia_170.81;egyptian_166.44
bn:00000151n;A-line;skirt_197.65;dress_120.48;wear_113.96;fashion_103.91;a-line_87.5;oversized_82.25;evening dress_72.27;evening gown_65.87;cassini_60.57
bn:00000153n;A-scan ultrasound biometry;ultrasound_451.23;ultrasonic_183.19;imaging_145.87;transducer_115.37;ultrasonography_113.61;doppler_109.28;image_90.79;use_86.66;tissue_65.53
bn:00000155n;Albert A. Michelson;light_389.1;michelson_353.82;theory_234.43;interferometer_213.83;einstein_207.08;relativity_198.58;aether_190.74;lorentz_180.44;experiment_168.5
bn:00000156n;A. A. Milne;pooh_1639.68;tigger_524.32;piglet_449.34;winnie-the-pooh_441.22;winnie_430.02;milne_360.04;eeyore_346.96;a. a. milne_288.26;roo_272.84
bn:00000157n;Arthur Conan Doyle;holmes_2203.27;sherlock holmes_1984.88;watson_896.26;moriarty_646.8;doyle_590.8;conan doyle_454.7;storey_267.51;gillette_230.48;arthur conan doyle_218.37
bn:00000158n;Ambrose Burnside;gen._2822.76;confederate_2088.43;maj._1695.58;corps_1629.5;brig._1408.59;burnside_1126.64;union_1053.8;army_1046.72;lee_1035.39
bn:00000159n;A. E. Housman;poet_1673.12;poem_567.55;poetry_442.44;housman_393.32;english_242.42;novelist_178.55;a. e. housman_175.76;writer_172.0;shropshire_161.91
bn:00000160n;Kennelly;analogy_172.59;impedance_153.15;mechanical_150.3;electrical_129.76;filter_80.92;resonator_80.68;voltage_76.67;transducer_72.64;edison_62.02
bn:00000162n;Noam Chomsky;chomsky_2243.68;language_1815.21;linguistics_760.15;grammar_637.1;linguistic_540.62;theory_339.38;whorf_312.29;noam chomsky_278.72;generative grammar_267.77
bn:00000163n;Anabas testudineus;native_1481.32;fish_283.17;questionable_143.86;endemic_126.63;barb_74.88;catfish_71.45;vertebrate_69.22;bengali_61.32;vegetable_58.12
bn:00000164n;George William Russell;irish_361.94;dublin_250.69;poet_249.04;writer_214.21;gogarty_179.19;dunsany_160.03;plunkett_155.48;ireland_141.35;poem_133.56
bn:00000165n;Battery (vacuum tube);battery_679.21;cell_170.28;voltage_156.08;cathode_136.97;volt_118.04;rechargeable_78.4;alkaline_70.67;electrolyte_64.82;eveready_63.74
